filename,origin,label,has bbox,min_x,min_y,width,height
NORMAL-695402-0002.jpg,kermany,no finding,0,,,,
NORMAL-3789615-0002.jpg,kermany,no finding,0,,,,
NORMAL-2239455-0001.jpg,kermany,no finding,0,,,,
NORMAL-9199227-0001.jpg,kermany,no finding,0,,,,
NORMAL-2280080-0001.jpg,kermany,no finding,0,,,,
NORMAL-3964800-0001.jpg,kermany,no finding,0,,,,
NORMAL-6575898-0001.jpg,kermany,no finding,0,,,,
NORMAL-5031579-0002.jpg,kermany,no finding,0,,,,
NORMAL-1756042-0001.jpg,kermany,no finding,0,,,,
NORMAL-7049415-0001.jpg,kermany,no finding,0,,,,
NORMAL-1858497-0001.jpg,kermany,no finding,0,,,,
NORMAL-7483489-0001.jpg,kermany,no finding,0,,,,
NORMAL-8995568-0001.jpg,kermany,no finding,0,,,,
NORMAL-32326-0001.jpg,kermany,no finding,0,,,,
NORMAL-9346821-0001.jpg,kermany,no finding,0,,,,
NORMAL-385855-0001.jpg,kermany,no finding,0,,,,
NORMAL-3518268-0001.jpg,kermany,no finding,0,,,,
NORMAL-3267425-0001.jpg,kermany,no finding,0,,,,
NORMAL-5170916-0001.jpg,kermany,no finding,0,,,,
NORMAL-5042453-0001.jpg,kermany,no finding,0,,,,
NORMAL-338872-0001.jpg,kermany,no finding,0,,,,
NORMAL-5021371-0001.jpg,kermany,no finding,0,,,,
NORMAL-5487025-0001.jpg,kermany,no finding,0,,,,
NORMAL-974509-0001.jpg,kermany,no finding,0,,,,
NORMAL-3802540-0001.jpg,kermany,no finding,0,,,,
NORMAL-701579-0002.jpg,kermany,no finding,0,,,,
NORMAL-6984314-0001.jpg,kermany,no finding,0,,,,
NORMAL-705474-0001.jpg,kermany,no finding,0,,,,
NORMAL-7423096-0001.jpg,kermany,no finding,0,,,,
NORMAL-2559035-0001.jpg,kermany,no finding,0,,,,
NORMAL-6806808-0001.jpg,kermany,no finding,0,,,,
NORMAL-3665449-0001.jpg,kermany,no finding,0,,,,
NORMAL-591136-0001.jpg,kermany,no finding,0,,,,
NORMAL-8571076-0003.jpg,kermany,no finding,0,,,,
NORMAL-806218-0001.jpg,kermany,no finding,0,,,,
NORMAL-8349062-0001.jpg,kermany,no finding,0,,,,
NORMAL-1110860-0001.jpg,kermany,no finding,0,,,,
NORMAL-5728847-0002.jpg,kermany,no finding,0,,,,
NORMAL-1070073-0002.jpg,kermany,no finding,0,,,,
NORMAL-3526928-0001.jpg,kermany,no finding,0,,,,
NORMAL-1243491-0001.jpg,kermany,no finding,0,,,,
NORMAL-8097373-0001.jpg,kermany,no finding,0,,,,
NORMAL-1012843-0001.jpg,kermany,no finding,0,,,,
NORMAL-2010074-0002.jpg,kermany,no finding,0,,,,
NORMAL-1915003-0001.jpg,kermany,no finding,0,,,,
NORMAL-2255274-0001.jpg,kermany,no finding,0,,,,
NORMAL-8966740-0001.jpg,kermany,no finding,0,,,,
NORMAL-6044102-0001.jpg,kermany,no finding,0,,,,
NORMAL-2387301-0001.jpg,kermany,no finding,0,,,,
NORMAL-9868047-0003.jpg,kermany,no finding,0,,,,
NORMAL-1456124-0001.jpg,kermany,no finding,0,,,,
NORMAL-6112892-0001.jpg,kermany,no finding,0,,,,
NORMAL-115218-0001.jpg,kermany,no finding,0,,,,
NORMAL-3387483-0001.jpg,kermany,no finding,0,,,,
NORMAL-652570-0001.jpg,kermany,no finding,0,,,,
NORMAL-4515478-0002.jpg,kermany,no finding,0,,,,
NORMAL-7635797-0001.jpg,kermany,no finding,0,,,,
NORMAL-2523281-0001.jpg,kermany,no finding,0,,,,
NORMAL-4515541-0001.jpg,kermany,no finding,0,,,,
NORMAL-6977054-0001.jpg,kermany,no finding,0,,,,
NORMAL-6964800-0001.jpg,kermany,no finding,0,,,,
NORMAL-1444388-0001.jpg,kermany,no finding,0,,,,
NORMAL-2333546-0003.jpg,kermany,no finding,0,,,,
NORMAL-4212770-0001.jpg,kermany,no finding,0,,,,
NORMAL-4499436-0001.jpg,kermany,no finding,0,,,,
NORMAL-3852346-0002.jpg,kermany,no finding,0,,,,
NORMAL-4675782-0001.jpg,kermany,no finding,0,,,,
NORMAL-4286410-0001.jpg,kermany,no finding,0,,,,
NORMAL-4734216-0001.jpg,kermany,no finding,0,,,,
NORMAL-1958813-0001.jpg,kermany,no finding,0,,,,
NORMAL-6106856-0001.jpg,kermany,no finding,0,,,,
NORMAL-9739016-0001.jpg,kermany,no finding,0,,,,
NORMAL-2335549-0001.jpg,kermany,no finding,0,,,,
NORMAL-673276-0001.jpg,kermany,no finding,0,,,,
NORMAL-4234436-0001.jpg,kermany,no finding,0,,,,
NORMAL-9211217-0001.jpg,kermany,no finding,0,,,,
NORMAL-1697483-0001.jpg,kermany,no finding,0,,,,
NORMAL-2986373-0001.jpg,kermany,no finding,0,,,,
NORMAL-8412621-0001.jpg,kermany,no finding,0,,,,
NORMAL-678492-0001.jpg,kermany,no finding,0,,,,
NORMAL-7181365-0001.jpg,kermany,no finding,0,,,,
NORMAL-8272933-0001.jpg,kermany,no finding,0,,,,
NORMAL-5745959-0001.jpg,kermany,no finding,0,,,,
NORMAL-324309-0001.jpg,kermany,no finding,0,,,,
NORMAL-6319993-0001.jpg,kermany,no finding,0,,,,
NORMAL-2204525-0002.jpg,kermany,no finding,0,,,,
NORMAL-1996912-0001.jpg,kermany,no finding,0,,,,
NORMAL-5545083-0002.jpg,kermany,no finding,0,,,,
NORMAL-3803096-0001.jpg,kermany,no finding,0,,,,
